District,year,area,avg_rainfall,max_temperature,min_temperature,aus,aman,boro,wheat,potato,jute,humidity,storm,urea,tsp,mp,DAP,inundationland_Highland,inundationland_mediumhighland,inundationland_lowland,inundationland_mediumlowland,inundationland_verylowland,Miscellaneous Land,Calcareous Alluvium,Noncalcareous Alluvium,Acid Basin Clay,Calcareous Brown Floodplain Soil,Calcareous Grey Floodplain Soil,Calcareous Dark Grey Floodplain Soil,Noncalcareous Grey Floodplain Soil,Noncalcareous Dark Grey Floodplain Soil,Peat,Made-Land,Noncalcareous Brown Floodplain Soil,Shallow Red-Brown Terrace Soil,Deep Red-Brown Terrace Soil,Brown Mottled Terrace Soil,Shallow Grey Terrace Soil,Deep Grey Terrace Soil,Grey Valley Soil,Brown Hill Soil,Grey Piedmont Soil,soil moisture
dhaka,2008,,2385,34.2,12.5,804,9691,233939,1129,33679,29825,71,yes,25967,8262,4808,1573,30118,32245,20539,41335,0,30137,4869,6782,6253,7691,26289,28109,87891,1876,13900,7048,0,0,0,0,0,0,0,0,0,124237
gazipur,2008,,2197,30.2,19.5,4328,93956,208434,479,4300,15072,71,yes,29264,9225,9057,5721,88346,30449,15220,20654,0,16542,0,648,28245,0,0,0,14655,4899,0,0,13,29623,46500,2414,8375,4660,14637,0,0,154669
narsingdi,2008,,2197,34.2,12.5,484,93958,207669,2073,14323,42440,71,no,30273,5068,5113,3031,23779,27893,22923,20368,0,20574,0,8247,4942,0,0,0,41976,27689,0,0,0,881,9800,601,0,140,687,0,0,94963
narayangonj,2008,,2197,34.2,12.2,1617,14485,129390,4585,73525,3620,71,yes,16992,7954,7026,443,9076,13243,14834,22629,0,15871,0,2396,3263,0,0,0,18095,26925,0,492,0,2800,4840,30,213,0,728,0,0,59782
tangail,2008,,1856,34.1,10.2,447,170918,672851,17477,56693,125166,78,yes,91562,19022,20143,8809,91012,133622,66018,15887,0,31462,0,28897,7786,0,0,0,128008,47714,0,0,566,14764,47378,2423,1971,6390,20642,0,0,306539
mymenshing,2008,,2239,29.6,21.6,88198,491413,812189,6111,43755,50856,79,no,120279,34007,47121,28723,163675,148743,68689,9442,0,44852,0,11988,32531,0,0,0,88491,165795,0,0,14725,12158,28174,2689,1846,10150,7915,442,13645,390549
kishoregonj,2008,,2235,34.12,10.8,25072,114327,679546,9877,58910,113711,79,yes,48522,13993,9646,6030,15749,55649,45163,77992,30550,31094,0,2155,15564,0,0,0,119010,87157,0,0,388,39,790,0,0,0,0,0,0,225103
dhaka,2009,,1930,35.6,14.8,1492,28872,217990,2306,42224,55858,66,yes,29300,8041,5396,1578,30118,32245,20539,41335,0,30137,4912,6831,6284,7701,26346,28881,87965,1886,14217,7049,0,0,0,0,0,0,0,0,0,124180
gazipur,2009,,1912,31,11.43,4199,105450,217819,447,4416,9662,66,yes,29059,9658,9007,5604,88346,30449,15220,20654,0,16509,0,760,28708,0,0,0,17532,3968,0,0,10,32059,43384,2202,9323,3898,10360,0,0,154625
narsingdi,2009,,1912,35.6,14.8,530,89811,212482,2788,11896,38814,66,no,30266,5122,5277,3114,23779,27893,22923,20368,0,23770,0,9415,2460,0,0,0,39347,26208,0,0,0,1019,7800,946,0,50,430,0,0,94787
